country,country_code,longitude,latitude,PC1,PC2
Spain,ES,-3.56611484727657,40.3287080082217,-0.0135,0.0335
Swiss-French,CH,6.15,46.2,0.0068,0.0087
Poland,PL,19.394607648779,52.14189866452,0.0332,-0.0496
France,FR,2.39432767075193,46.6058680055316,-0.0072,0.0341
France,FR,2.39432767075193,46.6058680055316,0.0033,0.0084
Italy,IT,12.5,42.0,-0.0591,-0.0349
Italy,IT,12.5,42.0,-0.0144,0.0003
Swiss-German,CH,8.55,47.36,0.0129,-0.0145
France,FR,2.39432767075193,46.6058680055316,0.0116,0.009
Swiss-German,CH,8.55,47.36,0.0095,-0.0133
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0216,0.0524
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0295,0.0097
Swiss-French,CH,6.15,46.2,0.0017,0.0083
Swiss-German,CH,8.55,47.36,0.0165,-0.0116
Swiss-German,CH,8.55,47.36,0.0129,-0.0055
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0222,0.0415
Swiss-French,CH,6.15,46.2,0.007,-0.0064
Ireland,IE,-8.18040076502755,53.1966827266848,0.0372,0.0203
Swiss-German,CH,8.55,47.36,0.0046,-0.0036
Spain,ES,-3.56611484727657,40.3287080082217,-0.0205,0.0429
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0176,0.0343
Swiss-French,CH,6.15,46.2,0.0062,-0.0015
France,FR,2.39432767075193,46.6058680055316,0.0138,0.0079
Swiss-French,CH,6.15,46.2,0.0082,-0.0014
Spain,ES,-3.56611484727657,40.3287080082217,-0.0146,0.0472
Italy,IT,12.5,42.0,-0.0216,0.0034
Italy,IT,12.5,42.0,-0.0592,-0.0247
Swiss-German,CH,8.55,47.36,0.0007,0.0021
Swiss-Italian,CH,8.95,46.0,-0.0172,0.0024
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0226,0.0377
Serbia and Montenegro,RS,20.6157230848337,43.9494926410995,-0.0021,-0.052
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0205,0.0383
France,FR,2.39432767075193,46.6058680055316,0.0059,0.0144
Spain,ES,-3.56611484727657,40.3287080082217,-0.0105,0.0469
Swiss-French,CH,6.15,46.2,0.0056,0.0038
Italy,IT,12.5,42.0,-0.0528,-0.0213
Swiss-German,CH,8.55,47.36,0.0108,-0.0043
Portugal,PT,-8.0163924833239,39.5909680725474,-0.0183,0.0365
Swiss-French,CH,6.15,46.2,0.0105,-0.0089
France,FR,2.39432767075193,46.6058680055316,0.0052,0.0071
Italy,IT,12.5,42.0,-0.0086,-0.0004
Poland,PL,19.394607648779,52.14189866452,0.0198,-0.0367
Swiss-French,CH,6.15,46.2,0.0099,0.0004
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0295,0.0043
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0331,0.0161
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0336,0.0005
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0296,0.0059
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0318,0.0035
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0275,0.001
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0243,0.0057
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0414,0.0241
Ireland,IE,-8.18040076502755,53.1966827266848,0.0404,0.012
Scotland,Sct,-3.2,55.95,0.0315,-0.0012
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0314,0.0169
Austria,AT,14.1174253717318,47.59249681831,0.0233,-0.0472
Ireland,IE,-8.18040076502755,53.1966827266848,0.0403,0.0019
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0258,-0.0007
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0312,0.0067
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0352,0.0164
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0252,0.0015
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0321,-0.0026
Ireland,IE,-8.18040076502755,53.1966827266848,0.033,0.0187
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0324,0.0127
Ireland,IE,-8.18040076502755,53.1966827266848,0.0363,0.0162
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0373,0.0156
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0354,0.0094
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0325,0.0099
Germany,DE,10.3589016293772,51.0835556416166,0.0332,0.0092
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0379,0.0109
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.031,-0.001
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0236,-0.0014
Ireland,IE,-8.18040076502755,53.1966827266848,0.0393,0.0145
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.028,0.0038
Ireland,IE,-8.18040076502755,53.1966827266848,0.042,0.0063
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0303,0.0039
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0308,0.012
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0251,0.0126
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0326,0.0098
Ireland,IE,-8.18040076502755,53.1966827266848,0.0401,0.0151
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0311,-0.0076
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0369,0.0033
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0315,0.0022
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0364,0.0114
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0253,-0.0007
Ireland,IE,-8.18040076502755,53.1966827266848,0.0336,0.0137
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.02,-0.0049
Ireland,IE,-8.18040076502755,53.1966827266848,0.0351,0.0207
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0297,-0.0034
Ireland,IE,-8.18040076502755,53.1966827266848,0.0396,0.0075
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0387,0.015
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0279,0.0009
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0278,0.0069
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0242,-0.0018
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0277,-0.002
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0172,0.0121
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0322,-0.001
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0302,-0.0012
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0333,0.0013
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0258,0.0216
Ireland,IE,-8.18040076502755,53.1966827266848,0.0385,0.0089
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0221,0.0023
Germany,DE,10.3589016293772,51.0835556416166,0.0317,-0.0079
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0221,-0.002
Germany,DE,10.3589016293772,51.0835556416166,0.0266,0.0089
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0326,0.0114
Netherlands,NL,5.66711565691123,52.2661386478456,0.0273,-0.0109
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0253,0.0124
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0216,0.0046
Ireland,IE,-8.18040076502755,53.1966827266848,0.04,0.0191
Denmark,DK,9.2549897459615,56.0581130812053,0.0297,-0.0162
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0285,0.0128
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.031,0.0047
Italy,IT,12.5,42.0,-0.0353,-0.0199
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0279,-0.0028
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0252,0.0046
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0282,0.0071
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0389,0.0099
Ireland,IE,-8.18040076502755,53.1966827266848,0.0383,0.0087
Austria,AT,14.1174253717318,47.59249681831,0.0146,-0.0195
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0258,0.012
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0277,-0.0521
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0323,-0.0042
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0322,0.0035
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0361,0.0126
Italy,IT,12.5,42.0,-0.0244,-0.0192
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0275,-0.0003
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0306,0.0014
Spain,ES,-3.56611484727657,40.3287080082217,0.0021,0.0232
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0342,0.0175
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0301,0.0123
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0317,-0.0055
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0289,0.0165
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0301,0.0224
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0239,0.0087
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.038,0.0221
Poland,PL,19.394607648779,52.14189866452,0.0419,-0.0519
Spain,ES,-3.56611484727657,40.3287080082217,-0.0114,0.0322
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0292,0.0152
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0227,0.0037
Ireland,IE,-8.18040076502755,53.1966827266848,0.0364,0.0141
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0248,0.0103
Poland,PL,19.394607648779,52.14189866452,0.0366,-0.0542
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0279,0.0018
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0302,-0.0049
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0335,0.0166
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0382,0.0193
Spain,ES,-3.56611484727657,40.3287080082217,-0.0211,0.0359
United Kingdom,UK,-2.33119501692698,53.5432480069741,-0.0539,-0.0226
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0317,-0.0018
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.03,0.0169
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0301,-0.0043
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0323,0.0002
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0279,0.0017
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0353,0.002
Poland,PL,19.394607648779,52.14189866452,0.0318,-0.0529
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0332,-0.0014
Ireland,IE,-8.18040076502755,53.1966827266848,0.034,0.0043
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0404,0.0216
Poland,PL,19.394607648779,52.14189866452,0.0168,-0.0553
Austria,AT,14.1174253717318,47.59249681831,0.0172,-0.0273
Austria,AT,14.1174253717318,47.59249681831,0.0113,-0.0252
United Kingdom,UK,-2.33119501692698,53.5432480069741,0.0268,0.0025
Germany,DE,10.3589016293772,51.0835556416166,0.0277,-0.0322
Germany,DE,10.3589016293772,51.0835556416166,0.0306,-0.0226
Netherlands,NL,5.66711565691123,52.2661386478456,0.024,0.0064
Kosovo,KS,21.1,42.7,-0.0261,-0.0587
Germany,DE,10.3589016293772,51.0835556416166,0.0233,-0.0135
Greece,GR,22.7088465896785,40.0341318427376,-0.0494,-0.0339
Germany,DE,10.3589016293772,51.0835556416166,0.0237,-0.0081
Germany,DE,10.3589016293772,51.0835556416166,0.0304,-0.0222
Netherlands,NL,5.66711565691123,52.2661386478456,0.0306,-0.0077
Italy,IT,12.5,42.0,-0.0294,-0.0042
Spain,ES,-3.56611484727657,40.3287080082217,-0.0211,0.0388
Netherlands,NL,5.66711565691123,52.2661386478456,0.0286,-0.0009
Poland,PL,19.394607648779,52.14189866452,0.0348,-0.0637
Swiss-Italian,CH,8.95,46.0,-0.0648,-0.0157
Germany,DE,10.3589016293772,51.0835556416166,0.0376,-0.0186
Germany,DE,10.3589016293772,51.0835556416166,0.0395,-0.0193
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.0066,-0.0468
Belgium,BE,4.61479191810973,50.6615342351454,0.0183,-0.0073
Poland,PL,19.394607648779,52.14189866452,0.0358,-0.0582
Belgium,BE,4.61479191810973,50.6615342351454,0.0155,0.0051
Germany,DE,10.3589016293772,51.0835556416166,0.0241,-0.0259
Norway,NO,10.68,59.93,0.0451,-0.0205
Belgium,BE,4.61479191810973,50.6615342351454,0.0175,-0.0012
Bosnia and Herzegovina,BA,17.862023036397,44.1758758177205,0.0006,-0.0568
Finland,FI,24.93,60.17,0.0478,-0.0378
Germany,DE,10.3589016293772,51.0835556416166,0.0087,-0.0144
Germany,DE,10.3589016293772,51.0835556416166,0.0083,-0.0136
Belgium,BE,4.61479191810973,50.6615342351454,0.0148,0.0063
Belgium,BE,4.61479191810973,50.6615342351454,0.0169,0.0013
Germany,DE,10.3589016293772,51.0835556416166,0.0103,-0.0156
Scotland,Sct,-3.2,55.95,0.034,0.0053
