SpecimenID,Tree_name,Family,Order,Total_weight,Standard_length,Max_body_depth,Max_fish_width,Head_depth,Lower_jaw_length,Mouth_width,Min_caudalpeduncle_depth,Min_caudalpeduncle_width
384667,Neoniphon_aurolineatus,Holocentridae,Beryciformes,126.2,174,56.1,29.7,32.9,31.2,12.2,14.6,3
151566,Neoniphon_aurolineatus,Holocentridae,Beryciformes,187.2,184,57.3,36.7,34.5,32.5,16.5,16.2,3.9
151566,Neoniphon_aurolineatus,Holocentridae,Beryciformes,228.2,196,62,40.2,35.6,33.3,17.8,17,4.4
416475,Neoniphon_marianus,Holocentridae,Beryciformes,17.34,90.78,28.9,16.91,22.46,19.63,12.91,7.45,3.04
416401,Neoniphon_marianus,Holocentridae,Beryciformes,23.22,101.05,32.45,18.56,23.39,21.18,6.6,8.47,3.22
413193,Neoniphon_marianus,Holocentridae,Beryciformes,48.6,123.33,41.32,21.19,30.65,26.36,13.02,10.47,4.22
146143,Neoniphon_opercularis,Holocentridae,Beryciformes,79.8,152.36,44.38,22.6,33.71,35.42,6.75,13.48,3.32
424788,Neoniphon_opercularis,Holocentridae,Beryciformes,86.7,148.93,45.33,23.53,33.41,34.95,5.66,13.33,4.25
381907,Neoniphon_opercularis,Holocentridae,Beryciformes,216.9,203.4,62.32,36.41,43.32,42.62,15.63,18.05,5.95
146184,Neoniphon_sammara,Holocentridae,Beryciformes,47.2,128.4,39.4,22.3,25.8,25.1,9.6,9.6,2.1
442483,Neoniphon_sammara,Holocentridae,Beryciformes,59.89,133.5,41.2,22.8,25.4,24.2,8.6,10.3,2.3
442370,Neoniphon_sammara,Holocentridae,Beryciformes,64,134.9,42.1,23.5,25.6,24.5,8.7,10.4,2.3
59942,Neoodax_balteatus,Odacidae,Perciformes,17.2,106.25,25.85,14.21,14.64,8.55,6.65,10.35,2.13
214783,Neoodax_balteatus,Odacidae,Perciformes,24.3,118.87,26.59,16.51,18.37,9.59,8.38,13.17,2.14
214725,Neoodax_balteatus,Odacidae,Perciformes,40.4,135.43,35.4,21.85,20.59,11.27,10.29,14.18,2.83
300906,Neoplecostomus_microps,Loricariidae,Siluriformes,12.3,91.18,15.69,23.32,11.1,6.31,13.11,6.51,3.55
320071,Neoplecostomus_paranensis,Loricariidae,Siluriformes,5.9,68.29,11.15,18.85,9.21,4.2,5.39,4.85,2.39
320071,Neoplecostomus_paranensis,Loricariidae,Siluriformes,8,75.11,13.21,20.03,9.91,4.1,4.85,6.05,2.65
320071,Neoplecostomus_paranensis,Loricariidae,Siluriformes,18.3,100.01,17.61,27.05,13.01,5.15,8.9,7.89,4.8
386124,Neopomacentrus_azysron,Pomacentridae,Perciformes,5.93,61.67,22.04,9.82,12.92,5.59,4.81,8.68,1.41
300128,Neopomacentrus_azysron,Pomacentridae,Perciformes,13.82,72.73,28.49,12.73,15.86,5.57,5.76,10.8,2.18
378007,Neopomacentrus_azysron,Pomacentridae,Perciformes,41.56,97.69,48.61,20.02,21.64,9.11,8.39,15.19,2.41
363831,Neopomacentrus_cyanomos,Pomacentridae,Perciformes,3.85,47.95,20.83,7.78,11.81,3.82,3.23,7.96,1.24
363810,Neopomacentrus_cyanomos,Pomacentridae,Perciformes,4.73,53.77,20.99,8.54,12.1,5.63,4.13,7.76,1.72
298852,Neopomacentrus_cyanomos,Pomacentridae,Perciformes,6.25,55.66,22.43,9.6,13.45,5.42,3.74,7.78,1.1
98694,Neopomacentrus_filamentosus,Pomacentridae,Perciformes,3.23,49.5,18,7.5,11.1,4.8,2.9,6.6,0.9
301438,Neopomacentrus_filamentosus,Pomacentridae,Perciformes,3.21,47.7,19,7.3,12.6,4.6,2.1,7.3,0.9
98697,Neopomacentrus_filamentosus,Pomacentridae,Perciformes,5.2,56.8,21.4,8.4,13.6,5.1,3.6,7.6,1
281397,Neopomacentrus_miryae,Pomacentridae,Perciformes,4.2,51,20.2,9,12.9,5.5,3.6,6,1.4
275325,Neopomacentrus_miryae,Pomacentridae,Perciformes,3.92,40,20.6,8.8,12.2,5,4.2,5.8,1.4
306160,Neopomacentrus_miryae,Pomacentridae,Perciformes,8.2,67.5,25.8,10.2,17.5,6.9,4,8.2,1.9
114841,Neopomacentrus_nemurus,Pomacentridae,Perciformes,3.2,44.54,16.91,7.26,10.07,4.03,4.08,7.04,1.4
324082,Neopomacentrus_nemurus,Pomacentridae,Perciformes,4.31,50.25,19.6,8.23,11.96,4.53,3.89,7.68,1.12
350058,Neopomacentrus_nemurus,Pomacentridae,Perciformes,4.04,51.92,20.02,7.61,11.03,5.49,4.28,8.21,1.4
363833,Neopomacentrus_sindensis,Pomacentridae,Perciformes,7.37,57.38,27.21,11.38,14.46,6.78,4.41,7.61,1.36
363833,Neopomacentrus_sindensis,Pomacentridae,Perciformes,6.93,60.6,27.74,11.13,14.39,7.16,4.75,8.31,1.62
363833,Neopomacentrus_sindensis,Pomacentridae,Perciformes,8.64,62.14,28.49,11.65,15.76,7.46,4.95,8.07,1.65
98233,Neopomacentrus_taeniurus,Pomacentridae,Perciformes,5.34,57.41,22.3,9.02,11.91,5.67,4.72,9.02,1.09
281158,Neopomacentrus_taeniurus,Pomacentridae,Perciformes,7.6,58.75,25.71,10.01,13.52,6,4.34,8.66,1.42
98212,Neopomacentrus_taeniurus,Pomacentridae,Perciformes,7.5,61.11,26.65,10.09,14.43,6.03,4.19,9.74,1.26
219923,Neosalanx_brevirostris,Salangidae,Osmeriformes,0.18,49.4,3,3.5,1.8,3,0.7,1.7,0.6
219923,Neosalanx_brevirostris,Salangidae,Osmeriformes,0.23,49.3,3.8,3.5,2,2.9,0.9,1.7,1
219923,Neosalanx_brevirostris,Salangidae,Osmeriformes,0.23,53.1,3.96,3.7,2.2,3.6,1.2,2,0.7
149268,Neoscopelus_macrolepidotus,Neoscopelidae,Myctophiformes,63.11,154.5,39.7,26.1,24.9,30.4,16,15.5,1.9
135853,Neoscopelus_macrolepidotus,Neoscopelidae,Myctophiformes,105.9,193.97,47.1,28.3,32.4,37.9,19,17.5,2.1
55254,Neoscopelus_macrolepidotus,Neoscopelidae,Myctophiformes,132.1,201.08,50.7,35,34.1,42.5,21.5,18.2,2.2
135848,Neoscopelus_microchir,Neoscopelidae,Myctophiformes,24.6,119.58,23.75,16.06,20.91,22.68,8.28,11.44,2.8
135865,Neoscopelus_microchir,Neoscopelidae,Myctophiformes,31.5,132.61,27.78,20.31,22.44,24.92,13.36,13.83,3.94
402432,Neoscopelus_microchir,Neoscopelidae,Myctophiformes,25.9,125.1,31.01,17.1,20.32,22.97,10.04,12.91,3.26
177079_1,Neosebastes_thetidis,Neosebastidae,Scorpaeniformes,379.2,199.95,80.95,62.75,63.67,32.75,38.18,22.43,6.97
177079_2,Neosebastes_thetidis,Neosebastidae,Scorpaeniformes,485,217.9,95.06,64.05,61.45,38.98,34.28,26.05,7.11
